condition,pair,k,eigenvalue_floor_relative,train_variance_explained,switch_variance_outside_fraction,train_centered_energy_outside_fraction,centroid_residual_l2,train_residual_l2_p99,train_mahalanobis_p99,residual_inside_train_p99,mahalanobis_inside_train_p99,both_inside_train_p99,residual_l2_min,residual_l2_p05,residual_l2_p25,residual_l2_median,residual_l2_p75,residual_l2_p95,residual_l2_p99,residual_l2_max,mahalanobis_min,mahalanobis_p05,mahalanobis_p25,mahalanobis_median,mahalanobis_p75,mahalanobis_p95,mahalanobis_p99,mahalanobis_max
narrow,allen_cahn,256,1e-08,1.0,3.518122173553112e-30,2.0112023066765326e-30,6.8923303487483685e-15,5.31620297649796e-15,8.805498086930136,48,0,0,5.611570632426279e-15,6.587396394160074e-15,7.0576089271588576e-15,7.345657040704485e-15,7.926366056379353e-15,9.359116800190838e-15,9.837598994620936e-15,9.928119349090402e-15,35.62908710889146,37.173551222184265,38.868856446732295,40.781384645087,43.933595136864895,49.25017195531105,50.99629996639519,51.26622048160908
narrow,allen_cahn,256,1e-10,1.0,3.518122173553112e-30,2.0112023066765326e-30,6.8923303487483685e-15,5.31620297649796e-15,8.885196681501219,48,0,0,5.611570632426279e-15,6.587396394160074e-15,7.0576089271588576e-15,7.345657040704485e-15,7.926366056379353e-15,9.359116800190838e-15,9.837598994620936e-15,9.928119349090402e-15,46.49304732382941,53.609533406267424,86.3670401284025,119.68726296173367,161.808685118112,222.92133570512433,251.66711522668913,261.07008959494294
broad_075,fisher_kpp,1,1e-08,0.435502461145844,0.9967161257028438,0.7038583565134087,0.26114451945650075,2.7372229200915195,1.6884071636620561,42,48,42,1.9390770095211816,2.121039084432219,2.2354343190458037,2.3474637657988926,2.488873173777031,2.9262871623041584,3.1328373720642326,3.2490747785559746,1.0320185668319033,1.0731356722844136,1.1510889614964648,1.253028837936856,1.3394206507866644,1.402026328217331,1.423149934193759,1.4342318486380532
broad_075,fisher_kpp,2,1e-08,0.5874284096630703,0.9155786773861796,0.6472252329720817,0.2611421377015843,2.6340377196341556,2.70007038521673,43,48,43,1.9195298069068345,2.002576645200124,2.183700080821196,2.284133482972238,2.4718320393239943,2.7515181128217345,2.7640405788686837,2.764951676394947,1.1235752763717344,1.1780622740320685,1.3131539801009995,1.395738716677649,1.7132581594384426,2.222584561471677,2.5120932293307505,2.5490988161852393
broad_075,fisher_kpp,5,1e-08,0.8659066069218526,0.6095248839435524,0.4309037703175468,0.21363623085617933,2.2369913716160905,4.045579813119398,43,47,42,1.2227593358225497,1.4356226081644434,1.6202570767917086,1.8824761937388006,2.0872267624259706,2.3602351806819755,2.485863298632622,2.5450906434400973,1.785240224600919,1.8265780514357324,2.268861001151305,2.841278457853124,3.4813653435502405,3.924952821356631,4.0792717873499855,4.109653650439928
broad_075,fisher_kpp,10,1e-08,0.9879523993094309,0.12343796672134034,0.08710991741272096,0.08917019384161771,0.9949690400654319,7.919009186282696,31,43,27,0.21850528206595052,0.24924829763557887,0.3989173694797311,0.5909862447553078,1.0622221295861303,1.4521320298921137,1.6948126405587933,1.8410828258819836,4.05409843268419,4.925713569365518,5.866557628917569,6.5809605761960235,7.3831638515475175,8.141229106065778,8.52616298451449,8.632653889429553
broad_075,fisher_kpp,11,1e-08,0.9999379602922033,0.015892186545130405,0.0113739237350832,0.048485237257451665,0.062138573974678944,8.749257884376599,0,39,0,0.08652459706265593,0.14766016541639254,0.2441098239151568,0.27811270425675866,0.3239782337861309,0.4897687726487048,0.5338968051343089,0.5571489364228872,5.5585945013465174,5.807652926464213,6.914634191579616,7.491822592425571,8.124099076680324,9.46034839945203,9.781191102201959,9.857279378092906
broad_075,fisher_kpp,16,1e-08,0.9999789959819705,0.004644022760115585,0.0033867069784620472,0.03483437191704546,0.027736045297375955,11.663935395933933,0,1,0,0.05249821561528004,0.06889037557173619,0.11304568018110173,0.14746275455812974,0.19703760597798622,0.2818032091697081,0.31748518924133934,0.3276523972061909,11.225751243393615,23.518826908806105,36.358418704014746,44.38998406494807,53.02105664272918,76.75436215550954,90.9485402504999,92.00900855145512
broad_075,fisher_kpp,32,1e-08,0.9999988224043596,2.3786922845546893e-05,1.703781810022626e-05,0.0019060420858441327,0.0026422906254303714,17.013297211065247,0,0,0,0.003476237788170758,0.004648234162553485,0.007071429575810998,0.010481536946637088,0.012993399380939817,0.017034848054805908,0.027393814717657672,0.029812337710879263,22.2449398576381,36.802341007117725,58.328004410476964,72.06184930446207,84.98274275679253,130.3799538604216,147.29076856986845,152.79854925527061
broad_075,fisher_kpp,64,1e-08,0.9999999110668476,1.6890915985642144e-06,1.2105661613917318e-06,0.0005138294716379738,0.0006566551163119924,19.433710005900455,0,0,0,0.0006692349284502271,0.0011414718637309349,0.0019080441895654625,0.0023948248939122648,0.0034220261618391383,0.005319658976004175,0.0067492204336233085,0.007296327023221231,24.010433358919233,39.57329746828914,61.209137030772695,78.99018646086714,92.98066967346593,141.30074454182395,157.71610656910553,167.90403300623214
